0.000205221,0.299007,-0.00172974,-1.99896,0.00311815,2.99806,0.799891
0.000635322,0.297131,-0.00524929,-1.99691,0.00938047,2.99416,0.799659
0.00107355,0.295262,-0.00873994,-1.99488,0.0155802,2.99029,0.799463
0.00151966,0.293401,-0.012202,-1.99287,0.0217169,2.98646,0.799305
0.00197341,0.291546,-0.0156357,-1.99089,0.0277902,2.98266,0.799182
0.00243456,0.2897,-0.0190414,-1.98892,0.0338,2.9789,0.799094
0.00290285,0.287863,-0.0224192,-1.98697,0.0397459,2.97516,0.79904
0.00337805,0.286033,-0.0257696,-1.98504,0.0456277,2.97146,0.79902
0.00385991,0.284213,-0.0290928,-1.98313,0.0514455,2.96778,0.799032
0.0043482,0.282402,-0.032389,-1.98123,0.057199,2.96414,0.799077
0.00484267,0.280601,-0.0356586,-1.97935,0.0628882,2.96053,0.799152
0.0053431,0.27881,-0.0389017,-1.97748,0.0685131,2.95695,0.799259
0.00584925,0.277028,-0.0421187,-1.97562,0.0740737,2.9534,0.799395
0.0063609,0.275257,-0.0453099,-1.97378,0.0795701,2.94988,0.79956
0.00687781,0.273496,-0.0484754,-1.97195,0.0850024,2.94638,0.799754
0.00739979,0.271746,-0.0516155,-1.97013,0.0903707,2.94292,0.799976
0.0079266,0.270006,-0.0547306,-1.96832,0.0956751,2.93948,0.800226
0.00845805,0.268278,-0.0578208,-1.96653,0.100916,2.93607,0.800502
0.00899393,0.26656,-0.0608864,-1.96474,0.106093,2.93269,0.800805
0.00953403,0.264854,-0.0639276,-1.96296,0.111207,2.92933,0.801133
0.0100782,0.263159,-0.0669448,-1.96119,0.116258,2.926,0.801486
0.0106261,0.261475,-0.0699381,-1.95943,0.121247,2.9227,0.801864
0.0111778,0.259803,-0.0729078,-1.95768,0.126172,2.91943,0.802266
0.0117329,0.258142,-0.0758541,-1.95594,0.131036,2.91618,0.802691
0.0122913,0.256493,-0.0787773,-1.9542,0.135838,2.91295,0.80314
0.0128529,0.254856,-0.0816775,-1.95247,0.140578,2.90975,0.803611
0.0134174,0.25323,-0.0845551,-1.95075,0.145257,2.90658,0.804104
0.0139848,0.251616,-0.0874102,-1.94904,0.149876,2.90343,0.804618
0.0145548,0.250014,-0.0902431,-1.94733,0.154433,2.9003,0.805154
0.0151273,0.248423,-0.093054,-1.94562,0.158931,2.8972,0.80571
0.0157022,0.246845,-0.095843,-1.94393,0.163369,2.89412,0.806287
0.0162793,0.245278,-0.0986105,-1.94224,0.167748,2.89107,0.806883
0.0168585,0.243723,-0.101357,-1.94055,0.172068,2.88804,0.807499
0.0174396,0.24218,-0.104082,-1.93887,0.17633,2.88503,0.808133
0.0180226,0.240648,-0.106785,-1.9372,0.180533,2.88204,0.808786
0.0186073,0.239129,-0.109469,-1.93553,0.184679,2.87908,0.809457
0.0191936,0.237621,-0.112131,-1.93386,0.188768,2.87614,0.810146
0.0197814,0.236125,-0.114774,-1.9322,0.1928,2.87322,0.810852
0.0203705,0.234641,-0.117396,-1.93055,0.196776,2.87032,0.811576
0.020961,0.233168,-0.119998,-1.9289,0.200696,2.86745,0.812315
0.0215525,0.231707,-0.12258,-1.92725,0.204561,2.86459,0.813071
0.0221452,0.230258,-0.125143,-1.92561,0.208371,2.86176,0.813843
0.0227388,0.22882,-0.127686,-1.92397,0.212127,2.85894,0.81463
0.0233333,0.227394,-0.13021,-1.92234,0.215828,2.85615,0.815432
0.0239286,0.225979,-0.132714,-1.92071,0.219477,2.85338,0.816249
0.0245245,0.224576,-0.1352,-1.91909,0.223072,2.85062,0.81708
0.0251211,0.223184,-0.137667,-1.91747,0.226614,2.84789,0.817926
0.0257183,0.221804,-0.140116,-1.91586,0.230105,2.84517,0.818785
0.0263159,0.220435,-0.142545,-1.91425,0.233544,2.84248,0.819657
0.0269139,0.219077,-0.144957,-1.91264,0.236933,2.8398,0.820542
0.0275122,0.21773,-0.147351,-1.91104,0.24027,2.83714,0.82144
0.0281108,0.216394,-0.149726,-1.90945,0.243558,2.8345,0.822351
0.0287096,0.21507,-0.152084,-1.90786,0.246796,2.83188,0.823273
0.0293085,0.213756,-0.154424,-1.90627,0.249985,2.82928,0.824208
0.0299074,0.212454,-0.156746,-1.90469,0.253125,2.82669,0.825153
0.0305064,0.211162,-0.159051,-1.90311,0.256218,2.82412,0.82611
0.0311052,0.209881,-0.161338,-1.90154,0.259262,2.82157,0.827078
0.031704,0.208611,-0.163609,-1.89997,0.26226,2.81904,0.828056
0.0323026,0.207352,-0.165862,-1.89841,0.265211,2.81652,0.829044
0.032901,0.206104,-0.168099,-1.89685,0.268116,2.81402,0.830042
0.0334991,0.204866,-0.170319,-1.89529,0.270975,2.81153,0.83105
0.0344113,0.20302,-0.173686,-1.89307,0.275257,2.80782,0.832536
0.0353225,0.201197,-0.177014,-1.89085,0.279437,2.80415,0.834043
0.0362325,0.199398,-0.180304,-1.88864,0.283517,2.80051,0.835571
0.037141,0.197621,-0.183554,-1.88644,0.287497,2.79691,0.837118
0.0380481,0.195866,-0.186767,-1.88425,0.29138,2.79334,0.838683
0.0389534,0.194134,-0.189941,-1.88207,0.295167,2.78981,0.840266
0.0398569,0.192425,-0.193078,-1.87989,0.29886,2.78631,0.841865
0.0407583,0.190738,-0.196178,-1.87773,0.302461,2.78284,0.843479
0.0416576,0.189072,-0.199242,-1.87558,0.305971,2.77941,0.845108
0.0425546,0.187429,-0.202269,-1.87344,0.309392,2.776,0.846751
0.0434493,0.185807,-0.205261,-1.87131,0.312726,2.77263,0.848407
0.0443413,0.184207,-0.208217,-1.8692,0.315974,2.76928,0.850075
0.0452308,0.182628,-0.211137,-1.86709,0.319137,2.76597,0.851754
0.0461174,0.18107,-0.214023,-1.865,0.322218,2.76269,0.853443
0.0470012,0.179534,-0.216875,-1.86291,0.325219,2.75943,0.855141
0.047882,0.178018,-0.219692,-1.86084,0.328139,2.75621,0.856849
0.0487596,0.176523,-0.222476,-1.85878,0.330982,2.75301,0.858564
0.0496341,0.175048,-0.225226,-1.85674,0.333749,2.74984,0.860286
0.0505052,0.173594,-0.227944,-1.85471,0.336441,2.7467,0.862015
0.051373,0.172159,-0.230628,-1.85269,0.33906,2.74359,0.863749
0.0522372,0.170745,-0.23328,-1.85068,0.341607,2.7405,0.865489
0.0530979,0.169351,-0.2359,-1.84869,0.344084,2.73744,0.867232
0.0539549,0.167976,-0.238488,-1.84671,0.346493,2.7344,0.868979
0.0548081,0.16662,-0.241045,-1.84475,0.348834,2.73139,0.870728
0.0556574,0.165284,-0.24357,-1.8428,0.35111,2.72841,0.87248
0.0565028,0.163966,-0.246065,-1.84087,0.353321,2.72545,0.874233
0.0573443,0.162668,-0.248529,-1.83895,0.355469,2.72252,0.875988
0.0584731,0.160951,-0.251815,-1.83648,0.358295,2.71864,0.878297
0.059594,0.159266,-0.255047,-1.83403,0.361012,2.71481,0.880607
0.0607067,0.157615,-0.258223,-1.83161,0.363623,2.71102,0.882916
0.0618112,0.155996,-0.261345,-1.82921,0.366132,2.70727,0.885223
0.0629073,0.154408,-0.264415,-1.82683,0.368541,2.70357,0.887526
0.0639948,0.152852,-0.267431,-1.82448,0.370854,2.6999,0.889825
0.0650736,0.151327,-0.270396,-1.82216,0.373075,2.69628,0.892118
0.0661436,0.149832,-0.27331,-1.81986,0.375205,2.69271,0.894404
0.0672045,0.148368,-0.276174,-1.81759,0.377248,2.68917,0.896681
0.0682564,0.146932,-0.278988,-1.81535,0.379206,2.68567,0.89895
0.069299,0.145526,-0.281754,-1.81313,0.381083,2.68221,0.901208
0.0703323,0.144148,-0.284471,-1.81094,0.382882,2.67879,0.903455
0.0713562,0.142798,-0.287142,-1.80877,0.384604,2.67542,0.905689
0.0723706,0.141475,-0.289765,-1.80664,0.386253,2.67208,0.907911
0.0736362,0.139847,-0.293019,-1.80405,0.388258,2.66796,0.910648
0.0748861,0.13826,-0.2962,-1.80151,0.390155,2.6639,0.913364
0.0761201,0.136714,-0.299309,-1.79901,0.391947,2.6599,0.916057
0.0773381,0.135209,-0.302348,-1.79654,0.393639,2.65596,0.918726
0.0785399,0.133744,-0.305319,-1.79412,0.395236,2.65208,0.92137
0.0797256,0.132317,-0.308224,-1.79173,0.396742,2.64826,0.923987
0.0808951,0.130927,-0.311062,-1.78939,0.398161,2.6445,0.926577
0.0820483,0.129575,-0.313836,-1.78709,0.399497,2.6408,0.929138
0.0831851,0.128258,-0.316548,-1.78483,0.400754,2.63716,0.93167
0.0845373,0.126711,-0.319752,-1.7822,0.402199,2.63286,0.934654
0.0858653,0.125215,-0.322867,-1.77963,0.403539,2.62864,0.937595
0.087169,0.123766,-0.325896,-1.77712,0.40478,2.62451,0.940491
0.0884487,0.122364,-0.32884,-1.77466,0.405927,2.62045,0.943343
0.0897042,0.121008,-0.331703,-1.77225,0.406986,2.61648,0.946149
0.0909358,0.119696,-0.334485,-1.7699,0.407962,2.61258,0.948908
0.0923511,0.118207,-0.337661,-1.76725,0.409033,2.60814,0.952057
0.0937334,0.116776,-0.340732,-1.76467,0.410002,2.6038,0.955141
0.0950832,0.115399,-0.343701,-1.76216,0.410876,2.59956,0.958162
0.0964005,0.114075,-0.346573,-1.75972,0.411663,2.59543,0.961119
0.0976859,0.112801,-0.349349,-1.75734,0.412369,2.5914,0.96401
0.0991238,0.111395,-0.352433,-1.75473,0.413108,2.58692,0.967228
0.10052,0.110051,-0.355399,-1.7522,0.413755,2.58257,0.970362
0.101876,0.108766,-0.358252,-1.74975,0.414316,2.57834,0.973412
0.103361,0.107379,-0.361353,-1.7471,0.414878,2.57373,0.97674
0.104795,0.10606,-0.364319,-1.74455,0.415348,2.56928,0.979964
0.10618,0.104807,-0.367156,-1.74209,0.415736,2.56497,0.983086
0.107669,0.103478,-0.370183,-1.73949,0.4161,2.56037,0.986434
0.1091,0.102224,-0.373064,-1.73698,0.416381,2.55594,0.98966
0.110614,0.100915,-0.376089,-1.73436,0.416621,2.55126,0.993068
0.112196,0.0995696,-0.379221,-1.73165,0.41681,2.54638,0.996624
0.1137,0.0983137,-0.382169,-1.72908,0.416914,2.54174,1.00002
0.11525,0.0970395,-0.385183,-1.72644,0.416961,2.53697,1.00352
0.116831,0.0957622,-0.388229,-1.72378,0.416944,2.53211,1.00709
0.118425,0.0944962,-0.391273,-1.7211,0.416859,2.52721,1.01069
0.120017,0.0932544,-0.394285,-1.71844,0.416706,2.52231,1.01429
0.121591,0.0920484,-0.397237,-1.71581,0.416486,2.51747,1.01787
0.123134,0.0908882,-0.400101,-1.71325,0.416203,2.51273,1.02138
0.124631,0.0897821,-0.402857,-1.71076,0.415865,2.50812,1.0248
0.126073,0.0887365,-0.405486,-1.70836,0.415479,2.50368,1.02811
0.127448,0.0877563,-0.407973,-1.70608,0.415055,2.49944,1.03128
0.128749,0.0868446,-0.410307,-1.70391,0.414603,2.49542,1.03428
0.129969,0.086003,-0.412479,-1.70187,0.414133,2.49165,1.03712
0.131105,0.0852321,-0.414486,-1.69997,0.413656,2.48813,1.03977
0.132154,0.0845308,-0.416326,-1.69822,0.41318,2.48488,1.04223
0.133115,0.0838974,-0.418,-1.6966,0.412714,2.4819,1.04449
0.133988,0.0833293,-0.419512,-1.69513,0.412266,2.47919,1.04655
0.134775,0.0828231,-0.420869,-1.6938,0.411841,2.47673,1.04842
0.13548,0.082375,-0.422077,-1.6926,0.411443,2.47454,1.0501
0.136105,0.0819811,-0.423145,-1.69154,0.411076,2.47258,1.05159
0.136657,0.0816369,-0.424083,-1.6906,0.410742,2.47086,1.05291
0.13714,0.0813383,-0.4249,-1.68977,0.410441,2.46935,1.05407
0.137559,0.0810807,-0.425608,-1.68905,0.410172,2.46804,1.05508
0.137921,0.08086,-0.426217,-1.68843,0.409936,2.4669,1.05596
0.13823,0.0806721,-0.426737,-1.68789,0.40973,2.46593,1.05671
0.138493,0.0805132,-0.427178,-1.68744,0.409552,2.46511,1.05735
0.138715,0.0803796,-0.427549,-1.68706,0.409399,2.46441,1.05789
0.138901,0.0802681,-0.42786,-1.68673,0.40927,2.46382,1.05834
0.139056,0.0801756,-0.428119,-1.68646,0.409162,2.46334,1.05872
0.139184,0.0800993,-0.428332,-1.68624,0.409071,2.46293,1.05903
0.139289,0.0800369,-0.428506,-1.68606,0.408997,2.4626,1.05928
0.139374,0.0799861,-0.428649,-1.68591,0.408935,2.46233,1.05949
0.139444,0.0799451,-0.428764,-1.68579,0.408886,2.46212,1.05966
0.139499,0.0799122,-0.428856,-1.68569,0.408846,2.46194,1.0598
0.139544,0.0798859,-0.42893,-1.68561,0.408813,2.4618,1.05991
0.139579,0.0798651,-0.428988,-1.68555,0.408788,2.46169,1.05999
0.139606,0.0798488,-0.429034,-1.6855,0.408768,2.4616,1.06006
